Vial #,Name,Country,City,Address Short,Address Full,TOW,Seconds,Minutes,Hours,Day,Month,Year,Compact-Time,Excel Time,Date,Lat,Long,Num,Altitude(m)
1,Sforzeco Castel,Italy,Milan,Sforzesco Castle,"Sforzesco Castle, 20121 Milan, Italy",Public Water Fountain,29,6,17,10,May,2024,5:06pm,5:06:29 PM,5/10/24,45.46976,9.17941,2,123.9
2,Via Edmondo ,Italy,Milan,Via Edmondo De Amicis 25,"Via Edmondo De Amicis 25, 20123 Milan, Italy",Public Water Fountain,17,10,16,10,May,2024,4:10pm,4:10:17 PM,5/10/24,45.45852,9.17813,2,117.88
3,Leather Market,Italy,Florence,Via di Capaccio 3,"Via di Capaccio 3, 50123 Florence, Italy",Public Water Fountain,25,48,13,14,May,2024,1:48pm,1:48:25 PM,5/14/24,43.76991,11.2541,1,62.7
4,River Sample,Italy,Florence,Ponte Amerigo Vespucci,"Ponte Amerigo Vespucci, 50123 Florence, Italy",River Water,41,1,13,14,May,2024,2:01pm,1:01:41 PM,5/14/24,43.77152,11.24251,1,41.25
5,Across from Ponte Vecchio,Italy,Florence,Piazza de' Pitti,"Piazza de' Pitti, 50125 Florence, Italy",Public Water Fountain,29,40,12,15,May,2024,12:40pm,12:40:29 PM,5/14/24,43.76592,11.25006,1,57.45
6,Florence Hotel,Italy,Florence,Via dei Banchi 2,"Via dei Banchi 2, 50123 Florence FI, Italy",Hotel Bathroom Sink,48,18,13,15,May,2024,1:18pm,1:18:40 PM,5/15/24,43.77363,11.2511,2,59
7,Sandwich Shop,Italy,Florence,Via dei Neri 65/R,"Via dei Neri 65/R, 50122 Florence, Italy",Public Bathroom Sink,6,58,21,15,May,2024,9:58pm,9:58:06 PM,5/15/24,43.76857,11.25715,1,43.44
8,Castle Gondolfo 1,Italy,Castel Gondolfo,Corso della Repubblica 45,"Corso della Repubblica 45, 00073 Castel Gandolfo RM, Italy",Public Water Fountain,17,27,14,17,May,2024,2:27pm,14:27,5/17/24,41.74539,12.65087,1,430.65
9,Castle Gondolfo 2,Italy,Castel Gondolfo,Piazza Felice Cavallotti 4,"Piazza Felice Cavallotti 4, 00073 Castel Gandolfo RM, Italy",Public Water Fountain,36,41,14,17,May,2024,2:41pm,2:41:36 PM,5/17/24,41.74467,12.6511,1,426.29
10,Pompeii 1,Italy,Pompeii,House of Octavius Quartio,"House of Octavius Quartio, 80045 Pompeii NA, Italy",Public Water Fountain,46,17,11,18,May,2024,11:17am,11:17:46 AM,5/18/24,40.75124,14.48531,1,35.48
11,Pompeii 2,Italy,Pompeii,House of Octavius Quartio,"House of Octavius Quartio, 80045 Pompeii NA, Italy",Public Water Fountain,52,27,11,18,May,2024,11:27am,11:27:52 AM,5/18/24,40.75243,14.48687,1,29.65
12,Pompeii 3,Italy,Pompeii,House of Octavius Quartio,"House of Octavius Quartio, 80045 Pompeii NA, Italy",Public Water Fountain,7,28,11,18,May,2024,11:28am,11:28:07 AM,5/18/24,40.75078,14.48712,1,31.05
13,Pompeii 4,Italy,Pompeii,House of Octavius Quartio,"House of Octavius Quartio, 80045 Pompeii NA, Italy",Public Water Fountain,57,56,11,18,May,2024,11:56am,11:56:57 AM,5/18/24,40.74788,14.48869,1,18.92
14,Castellammare,Italy, Castellammare di Stabia,Corso Giuseppe Garibaldi 69–75,"Corso Giuseppe Garibaldi 69–75, 80053 Castellammare di Stabia NA, Italy",Public Water Fountain,2,58,12,18,May,2024,12:58pm,12:58:02 PM,5/18/24,40.69939,14.48199,1,1.84
15,Vatican 1,Vatican City,Vatican City,"Vatican Museums, Stradone ai Giardini","Vatican Museums, Stradone ai Giardini, 00120 Vatican City",Public Water Fountain,26,40,10,20,May,2024,10:40am,10:40:26 AM,5/20/24,41.90601,12.45371,1,46.95
16,Vatican 2,Vatican City,Vatican City,Salita dei Giardini,"Salita dei Giardini, 00192 Vatican City",Public Water Fountain,9,44,13,20,May,2024,1:44pm,1:44:09 PM,5/20/24,41.90732,12.4555,1,25.38
17,Hotel Atlantico,Italy,Rome,Via Cavour 23,"Via Cavour 23, 00184 Rome, Italy",Hotel Bathroom Sink,15,2,18,21,May,2024,6:02pm,6:02:15 PM,5/21/24,41.90004,12.49874,1,81.7
18,Taverna Romana Dinner,Italy,Rome,Via della Madonna dei Monti 79,"Via della Madonna dei Monti 79, 00184 Rome, Italy",Public Bathroom Sink,19,31,21,21,May,2024,9:31pm,9:31:19 PM,5/21/24,41.8941,12.48948,1,30.08
19,Rome 1,Italy,Rome,Piazza di S Prancesco di Paola,"Piazza di S Prancesco di Paola, 00184 Rome, Italy",Public Water Fountain,37,1,22,21,May,2024,10:01pm,10:01:37 PM,5/21/24,41.89472,12.4919,1,31.27
20,Rome 2,Italy,Rome,Via dei Capocci 99,"Via dei Capocci 99, 00184 Rome, Italy",Public Water Fountain,22,11,22,21,May,2024,10:11pm,10:11:22 PM,5/21/24,41.89559,12.4932,1,46.99
21,JFK Airport,United States,New York,JFK Airport Terminal 4,"JFK Airport Terminal 4, Howard Beach, NY  11414, United States",Public Water Fountain,5,33,13,22,May,2024,1:33pm,1:33:05 PM,5/22/24,40.64152,-73.78268,1,13.01